punto_clave_id,posicion_x,posicion_y,tamaño,angulo,respuesta,octava
1,396.0,501.0,31.0,106.40277099609375,0.0014354282757267356,0
2,486.0,404.0,31.0,97.31443786621094,0.000893433578312397,0
3,354.0,364.0,31.0,240.28704833984375,0.0008893843041732907,0
4,386.0,382.0,31.0,297.8883972167969,0.0008764266967773438,0
5,516.0,374.0,31.0,276.6740417480469,0.001290359883569181,0
6,444.0,363.0,31.0,354.4750061035156,0.0009689314756542444,0
7,337.0,392.0,31.0,240.635498046875,0.0015057906275615096,0
8,442.0,362.0,31.0,19.72712516784668,0.0015389113686978817,0
9,462.0,406.0,31.0,70.72949981689453,0.0013602302642539144,0
10,452.0,375.0,31.0,48.824283599853516,0.0008560573915019631,0
11,397.0,395.0,31.0,321.28985595703125,0.0011343053774908185,0
12,448.0,403.0,31.0,287.0062255859375,0.0010737351840361953,0
13,477.0,383.0,31.0,285.52801513671875,0.0014830694999545813,0
14,475.0,395.0,31.0,100.95901489257812,0.0012276469497010112,0
15,410.0,407.0,31.0,247.57537841796875,0.0025567300617694855,0
16,274.0,604.0,31.0,272.0700378417969,0.0008942587883211672,0
17,507.0,387.0,31.0,286.6020202636719,0.0008498177630826831,0
18,465.0,387.0,31.0,140.88644409179688,0.0009813583455979824,0
19,399.0,387.0,31.0,86.29619598388672,0.0010307356715202332,0
20,363.0,377.0,31.0,268.7167663574219,0.0008972447249107063,0
21,506.0,407.0,31.0,324.01995849609375,0.0013835667632520199,0
22,327.0,396.0,31.0,228.729736328125,0.0015402848366647959,0
23,477.0,377.0,31.0,259.4598083496094,0.0013314431998878717,0
24,438.0,385.0,31.0,40.78764343261719,0.0013276278041303158,0
25,517.0,377.0,31.0,266.64453125,0.0012317619984969497,0
26,532.0,377.0,31.0,272.68701171875,0.0008760793716646731,0
27,497.0,392.0,31.0,115.5270004272461,0.0008736559539102018,0
28,525.0,417.0,31.0,76.94387817382812,0.0009997147135436535,0
29,359.0,396.0,31.0,273.64239501953125,0.0014955929946154356,0
30,350.0,385.0,31.0,254.47552490234375,0.0009668547427281737,0
31,375.0,369.0,31.0,283.73626708984375,0.000926774344407022,0
32,517.0,396.0,31.0,285.49896240234375,0.0010333656100556254,0
