epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.482,1.36829,2.5092,1.34998,0.00762,0.80531,0.53913,0.2781,1.21623,3.12882,1.19025,0.00048,0.00048,0.00048
2,479.937,1.38642,1.96783,1.37551,0.12977,0.12389,0.06439,0.02735,1.57947,3.54489,1.52996,0.000970298,0.000970298,0.000970298
3,688.698,1.47237,1.9658,1.43545,0.57668,0.27434,0.29629,0.14548,1.67913,3.02867,1.5096,0.0014507,0.0014507,0.0014507
4,898.165,1.50347,1.81981,1.4451,0.48596,0.39823,0.36578,0.13264,1.96163,3.00055,1.70202,0.00192119,0.00192119,0.00192119
5,1112.15,1.58681,1.79078,1.4765,0.61753,0.36283,0.39015,0.16691,1.79776,2.55127,1.59568,0.0019208,0.0019208,0.0019208
6,1318.4,1.51894,1.66825,1.45985,0.20334,0.36283,0.17186,0.07291,1.77798,2.81304,1.67675,0.001901,0.001901,0.001901
7,1525.38,1.52215,1.58647,1.4494,0.65222,0.38053,0.42071,0.20667,1.75536,2.10674,1.57528,0.0018812,0.0018812,0.0018812
8,1740.43,1.477,1.47219,1.43237,0.64656,0.50442,0.52454,0.26775,1.71354,1.96409,1.61061,0.0018614,0.0018614,0.0018614
9,1949.34,1.48991,1.45099,1.45188,0.43873,0.59492,0.43876,0.20311,1.67781,2.2163,1.58651,0.0018416,0.0018416,0.0018416
10,2160.16,1.43521,1.39082,1.38796,0.53355,0.56688,0.49183,0.23788,1.6392,1.8253,1.47018,0.0018218,0.0018218,0.0018218
11,2369.22,1.45609,1.34117,1.39741,0.86113,0.67257,0.72827,0.38298,1.4474,1.72138,1.36528,0.001802,0.001802,0.001802
12,2583.06,1.4333,1.27572,1.35913,0.71518,0.54867,0.61274,0.29141,1.67682,1.51338,1.50184,0.0017822,0.0017822,0.0017822
13,2791.99,1.39687,1.26556,1.39377,0.86724,0.55752,0.6834,0.36202,1.54716,1.36879,1.40882,0.0017624,0.0017624,0.0017624
14,3003.9,1.40062,1.25774,1.3614,0.81381,0.62832,0.67496,0.32942,1.518,1.73985,1.34978,0.0017426,0.0017426,0.0017426
15,3220.93,1.37816,1.17861,1.34028,0.75974,0.67162,0.68519,0.33082,1.63311,1.44244,1.4696,0.0017228,0.0017228,0.0017228
16,3473.3,1.38303,1.17036,1.3365,0.74434,0.62832,0.65343,0.33232,1.50786,1.61877,1.34316,0.001703,0.001703,0.001703
17,3728.67,1.37474,1.13639,1.33668,0.77566,0.67316,0.64639,0.36472,1.47007,1.12064,1.3715,0.0016832,0.0016832,0.0016832
18,3951.91,1.36227,1.08647,1.34175,0.87495,0.71681,0.719,0.37911,1.49764,1.14973,1.34414,0.0016634,0.0016634,0.0016634
19,4158.11,1.3698,1.11718,1.32002,0.63603,0.61062,0.60942,0.30663,1.55372,1.30688,1.40683,0.0016436,0.0016436,0.0016436
20,4349.1,1.34282,1.1011,1.3397,0.8096,0.69027,0.71374,0.36989,1.46973,1.09633,1.3581,0.0016238,0.0016238,0.0016238
21,4538.45,1.3516,1.02767,1.33249,0.83499,0.67257,0.75474,0.39815,1.49611,1.08454,1.35385,0.001604,0.001604,0.001604
22,4732.31,1.30741,1.01801,1.31443,0.81192,0.72587,0.74268,0.37151,1.66948,1.11836,1.46037,0.0015842,0.0015842,0.0015842
23,4921.1,1.34857,1.04444,1.33969,0.85317,0.66848,0.73842,0.37803,1.51355,1.08249,1.36572,0.0015644,0.0015644,0.0015644
24,5109.7,1.30601,1.0159,1.31421,0.87176,0.70796,0.75904,0.3939,1.45968,1.02776,1.3419,0.0015446,0.0015446,0.0015446
25,5302.72,1.29223,1.00673,1.31609,0.84972,0.66372,0.70068,0.36141,1.41933,1.25632,1.36105,0.0015248,0.0015248,0.0015248
26,5490.38,1.27439,0.97189,1.30762,0.79393,0.6478,0.69023,0.34294,1.56966,1.17151,1.44735,0.001505,0.001505,0.001505
27,5678.67,1.2795,0.97066,1.29589,0.83703,0.69027,0.72897,0.39658,1.47309,1.00634,1.36149,0.0014852,0.0014852,0.0014852
28,5886.2,1.25577,0.96351,1.28028,0.75923,0.69765,0.7195,0.38617,1.44743,1.05885,1.29797,0.0014654,0.0014654,0.0014654
29,6077.06,1.29384,0.89857,1.2751,0.86469,0.71681,0.74628,0.42205,1.43617,0.94638,1.32232,0.0014456,0.0014456,0.0014456
30,6266.99,1.23508,0.92623,1.28157,0.82117,0.65021,0.72795,0.36786,1.44565,1.08316,1.34769,0.0014258,0.0014258,0.0014258
31,6458.16,1.24214,0.96233,1.27687,0.73994,0.63717,0.66756,0.36051,1.47079,1.08695,1.33215,0.001406,0.001406,0.001406
32,6650.64,1.22629,0.88539,1.26021,0.82873,0.71681,0.7369,0.39148,1.45325,1.01454,1.36759,0.0013862,0.0013862,0.0013862
33,6839.57,1.25397,0.92297,1.28473,0.78311,0.72566,0.73591,0.39494,1.4235,1.02848,1.37638,0.0013664,0.0013664,0.0013664
